champion,Synergy,Performance avg,Performance std,role,games,Matchup Role
Aatrox,Irelia,-47.50161829064614,75.85208132305125,JUNGLE,6,TOP_LANE
Aatrox,Jayce,16.446799692423113,101.12883779851201,JUNGLE,9,TOP_LANE
Aatrox,Kennen,49.55209650194791,90.76780344393998,JUNGLE,14,TOP_LANE
Aatrox,Sion,15.941410601602273,98.42978207723314,JUNGLE,9,TOP_LANE
Aatrox,Urgot,-9.167970186220812,98.18319944153205,JUNGLE,13,TOP_LANE
Aatrox,Vladimir,-37.34703944499856,50.04712477946728,JUNGLE,12,TOP_LANE
Aatrox,Yorick,-47.12746044150684,64.0592981440386,JUNGLE,7,TOP_LANE
Aatrox,Akali,23.11553539281083,99.3512903417642,MID_LANE,26,TOP_LANE
Aatrox,Fiora,-19.986741619662528,80.84964948396059,MID_LANE,8,TOP_LANE
Aatrox,Gangplank,11.92895997786758,84.74594202520458,MID_LANE,12,TOP_LANE
Aatrox,Gnar,-5.618722726156243,80.06465829327105,MID_LANE,8,TOP_LANE
Aatrox,Irelia,-29.775675616536773,92.27312874320275,MID_LANE,6,TOP_LANE
Aatrox,Jayce,23.412658504745167,105.42874448939533,MID_LANE,13,TOP_LANE
Aatrox,Karma,9.426469642926174,117.25116132349807,MID_LANE,7,TOP_LANE
Aatrox,Kennen,16.981265472932623,96.62361114088274,MID_LANE,35,TOP_LANE
Aatrox,Mordekaiser,-46.69973395541741,101.9256804107264,MID_LANE,14,TOP_LANE
Aatrox,Neeko,11.142144523758441,88.37292499870084,MID_LANE,8,TOP_LANE
Aatrox,Ornn,17.37730594410549,89.75350169722971,MID_LANE,12,TOP_LANE
Aatrox,Poppy,56.28826096061592,127.04137107701601,MID_LANE,7,TOP_LANE
Aatrox,Renekton,-78.50819260152139,100.81541485954588,MID_LANE,12,TOP_LANE
Aatrox,Rumble,0.70643937940339,89.58128067542597,MID_LANE,12,TOP_LANE
Aatrox,Ryze,-17.75217605037326,102.10795378043588,MID_LANE,12,TOP_LANE
Aatrox,Sion,-78.30464549418242,70.53498843906775,MID_LANE,10,TOP_LANE
Aatrox,Sylas,21.748209053072785,110.61285823557776,MID_LANE,9,TOP_LANE
Aatrox,Urgot,11.876524580528962,95.67550864246687,MID_LANE,10,TOP_LANE
Aatrox,Viktor,59.49244820444762,77.10412485199205,MID_LANE,11,TOP_LANE
Aatrox,Vladimir,-16.669124220209245,71.08782373623751,MID_LANE,24,TOP_LANE
Aatrox,Aatrox,0.0000000000000005869635256119749,99.99999999999996,TOP_LANE,4731,TOP_LANE
Ahri,Aatrox,-5.530939801035121,95.7260523721425,MID_LANE,165,TOP_LANE
Ahri,Akali,18.081575297593336,93.85805006294238,MID_LANE,55,TOP_LANE
Ahri,Akshan,-32.33227515639223,95.15415151543924,MID_LANE,11,TOP_LANE
Ahri,Camille,4.320508186003035,96.28513616520874,MID_LANE,165,TOP_LANE
Ahri,Chogath,-33.79500894106206,88.49701999906246,MID_LANE,14,TOP_LANE
Ahri,Darius,-20.83805443046709,78.98111387778366,MID_LANE,32,TOP_LANE
Ahri,DrMundo,-35.27077083027005,98.21860560337463,MID_LANE,16,TOP_LANE
Ahri,Fiora,-11.886935021736521,94.80778259840561,MID_LANE,123,TOP_LANE
Ahri,Fizz,45.19875772174756,97.028646434799,MID_LANE,9,TOP_LANE
Ahri,Galio,-5.711667630847214,117.8234047450085,MID_LANE,14,TOP_LANE
Ahri,Gangplank,9.568829871517584,100.40067932016441,MID_LANE,178,TOP_LANE
Ahri,Gnar,-6.814812352744434,102.4098270493849,MID_LANE,495,TOP_LANE
Ahri,Gragas,-7.137778322733171,108.08681949044849,MID_LANE,164,TOP_LANE
Ahri,Graves,-1.6572285890213039,100.06899764498543,MID_LANE,111,TOP_LANE
Ahri,Gwen,2.8929414592537017,99.8958924293296,MID_LANE,321,TOP_LANE
Ahri,Hecarim,-27.56844197307711,95.43848465496224,MID_LANE,16,TOP_LANE
Ahri,Irelia,17.57544967945329,105.47186226163852,MID_LANE,60,TOP_LANE
Ahri,JarvanIV,-2.705508321754094,87.06594767002079,MID_LANE,11,TOP_LANE
Ahri,Jax,14.116833337991569,105.2578666731644,MID_LANE,117,TOP_LANE
Ahri,Jayce,9.806343417219773,100.5803098859388,MID_LANE,183,TOP_LANE
Ahri,Karma,0.6574501511521845,65.47923970349021,MID_LANE,6,TOP_LANE
Ahri,Kayle,-8.42444374248583,96.27458725501548,MID_LANE,42,TOP_LANE
Ahri,Kennen,-2.735724565087718,96.76952276777521,MID_LANE,107,TOP_LANE
Ahri,Kled,17.345175460887564,74.81367499567993,MID_LANE,10,TOP_LANE
Ahri,KSante,8.874869670826204,100.38065967815535,MID_LANE,92,TOP_LANE
Ahri,LeeSin,-42.95199645171615,104.84428870272718,MID_LANE,6,TOP_LANE
Ahri,Lillia,51.57060770400881,108.05442978887434,MID_LANE,7,TOP_LANE
Ahri,Lissandra,-33.553842154792434,101.37088109189848,MID_LANE,17,TOP_LANE
Ahri,Lucian,-9.325734319397974,67.8077662324908,MID_LANE,9,TOP_LANE
Ahri,Lulu,60.500403055063686,94.53200095830609,MID_LANE,13,TOP_LANE
Ahri,Malphite,7.957356743766181,106.37322545460793,MID_LANE,76,TOP_LANE
Ahri,Maokai,2.0467056700442035,93.24656464963334,MID_LANE,77,TOP_LANE
Ahri,MonkeyKing,29.996480517917014,79.48965721879352,MID_LANE,16,TOP_LANE
Ahri,Mordekaiser,-15.104859992450711,91.09798252339584,MID_LANE,16,TOP_LANE
Ahri,Nasus,-0.442352973508072,86.556419106876,MID_LANE,6,TOP_LANE
Ahri,Nautilus,24.75729564325319,107.97305338836179,MID_LANE,37,TOP_LANE
Ahri,Neeko,68.19678208782737,45.37044451792641,MID_LANE,6,TOP_LANE
Ahri,Olaf,19.375432759420715,102.29055412004254,MID_LANE,64,TOP_LANE
Ahri,Ornn,3.1871248442012554,95.91533938784134,MID_LANE,209,TOP_LANE
Ahri,Poppy,-35.33828730203444,97.40401858464492,MID_LANE,27,TOP_LANE
Ahri,Renekton,-11.509636764538948,90.95889913820723,MID_LANE,193,TOP_LANE
Ahri,Riven,-41.81702968944016,81.50702547412166,MID_LANE,16,TOP_LANE
Ahri,Rumble,0.5031261329494026,99.70256453476661,MID_LANE,60,TOP_LANE
Ahri,Ryze,56.14601095892098,118.02064772425331,MID_LANE,12,TOP_LANE
Ahri,Sejuani,4.277639442191334,100.92630578964923,MID_LANE,134,TOP_LANE
Ahri,Sett,-24.46110218745035,91.17019839397648,MID_LANE,29,TOP_LANE
Ahri,Shen,-3.2821043360068245,88.93282568936999,MID_LANE,52,TOP_LANE
Ahri,Shyvana,40.82873734585673,78.6033254309291,MID_LANE,19,TOP_LANE
Ahri,Sion,2.4966851405451447,107.96452859448917,MID_LANE,149,TOP_LANE
Ahri,Swain,-20.79516767859077,116.51492730978124,MID_LANE,6,TOP_LANE
Ahri,Sylas,-23.515840056086475,86.13350586323502,MID_LANE,19,TOP_LANE
Ahri,TahmKench,-0.5355493594103313,94.93804133467484,MID_LANE,8,TOP_LANE
Ahri,Trundle,-23.03455722304883,80.89837824597151,MID_LANE,15,TOP_LANE
Ahri,Tryndamere,2.8383953623935265,106.55282263372283,MID_LANE,86,TOP_LANE
Ahri,Urgot,-21.584543028285385,72.74437055761895,MID_LANE,15,TOP_LANE
Ahri,Vayne,50.0297385063368,93.87731231003224,MID_LANE,6,TOP_LANE
Ahri,Vladimir,-4.211587430746977,116.30364465640055,MID_LANE,21,TOP_LANE
Ahri,Yone,-10.119620153724137,82.82761017475751,MID_LANE,17,TOP_LANE
Akali,Aatrox,4.317460041923753,99.91060386587836,MID_LANE,213,TOP_LANE
Akali,Camille,-4.843347170822164,96.602090850204,MID_LANE,189,TOP_LANE
Akali,Chogath,-42.912257950841244,91.32502137396344,MID_LANE,22,TOP_LANE
Akali,Darius,12.51937043864628,80.22652074830306,MID_LANE,16,TOP_LANE
Akali,DrMundo,9.049611567798284,102.42057061552848,MID_LANE,15,TOP_LANE
Akali,Fiora,-9.152364645987657,102.7306839085899,MID_LANE,95,TOP_LANE
Akali,Gangplank,2.9124905946785677,97.79432803745775,MID_LANE,137,TOP_LANE
Akali,Gnar,4.202536246585007,100.071381405891,MID_LANE,282,TOP_LANE
Akali,Gragas,-5.619632427344955,97.2107865344934,MID_LANE,76,TOP_LANE
Akali,Graves,14.532133653035403,105.66341624983588,MID_LANE,44,TOP_LANE
